bits,parity
101011110001,1
111010111010,0
110101000101,0
011001101011,1
011011001110,1
101011010010,0
100111100101,1
100100001100,0
001101111110,0
101001011100,0
110011010010,0
011000101010,1
110100111010,1
010100101001,1
100011011011,1
001001110011,0
000110100011,1
100000111111,1
110100000110,1
011100101110,1
001001101001,1
010001111100,0
101000101110,0
000001100001,1
011010010010,1
011001100000,0
000000111111,0
101011101101,0
010010000110,0
101101010111,0
111110011111,0
010001010001,0
110001011111,0
110011100111,0
111010111111,0
000111010111,1
100110101101,1
001111100011,1
100110110100,0
000101100011,1
010100111011,1
100010111101,1
010101110110,1
101011000100,1
110011001000,1
001100010110,1
011000011010,1
110101000110,0
000110110011,0
010001000110,0
101100011111,0
111110000100,0
111011000011,1
011101010010,0
100100001000,1
100111000011,0
100101100110,0
100111100010,0
110110101000,0
010111111011,1
010110100010,1
110001111011,0
111100001100,0
000110011110,0
011011001110,1
100000101011,1
110111101011,1
011000111010,0
101111101000,1
001111000001,1
101111101010,0
100111111000,1
101110011010,1
101011000100,1
100001011011,0
111011100000,0
011011011110,0
011010101010,0
111001110001,1
011000111101,1
100011010110,0
100111011011,0
100010011011,0
111011100001,1
100100101001,1
000000011000,0
100001101111,1
100101000111,0
010101001100,1
000111000011,1
111111101001,1
010011110011,1
111100101110,0
001011001001,1
111001111111,0
110011001110,1
011010110000,1
100011001011,0
010100010001,0
010011101111,0
110001110101,1
100001110100,1
000111000111,0
011110011111,1
111010100101,1
000110110100,1
001110011100,0
100110110001,0
111101111001,1
000001010010,1
000010100010,1
111110010010,1
110010111001,1
111011111001,1
100001100101,1
011101011011,0
110101101101,0
000111100000,0
100011010011,0
000000111111,0
000111000001,0
010010101011,0
101101111000,1
110111000100,0
101111001010,1
101111111011,0
010001111011,1
001011110100,0
100000001000,0
011011001101,1
110001011001,0
011100001001,1
111011101111,0
011100110011,1
101011101101,0
011110100100,0
100100001101,1
001000101001,0
110111101111,0
001101010110,0
000010110000,1
001110111000,0
100000001100,1
110111000110,1
000000011010,1
100010001010,0
000000111100,0
001101111001,1
111010010001,0
111110011101,1
100100001010,0
001110110100,0
010100000010,1
100101111101,0
100000101100,0
110111101111,0
001100100100,0
011010001011,0
011011110010,1
000100001111,1
010111100100,0
110000100010,0
111100011000,0
111000000101,1
010111001000,1
111000101111,0
100000100011,0
111110000001,0
001111011000,0
100101001100,1
010011001110,0
001000110000,1
011110000101,0
111101111000,0
010010111001,0
000110001101,1
010101011011,1
110000100001,0
010011011001,0
011000001100,0
111110100100,1
000100100110,0
001011101000,1
000011101101,0
001110110000,1
110100011110,1
000101011011,0
110101100101,1
011001011011,1
000000010101,1
011101100101,1
010101111110,0
100001001011,1
000011010001,0
101011011111,1
010011010000,0
100011010101,0
100101010010,1
101111101101,1
110101100010,0
000011011100,1
011110100001,0
011001010011,0
011000101111,1
011100010110,0
111011010100,1
101110101011,0
111111100100,0
001111011101,0
101110111011,1
000011011001,1
100001101010,1
101011000110,0
010001110001,1
000000001110,1
100000110111,0
010000111001,1
000000111110,1
100110111111,1
011110101011,0
000010111011,0
100100001010,0
100100110000,0
111001001101,1
110101010001,0
001100110110,0
110011111010,0
100101010110,0
110000010011,1
010111000111,1
011001010111,1
101101110111,1
000001010110,0
111100101100,1
110001101010,0
001101001110,0
111111011011,0
011101100101,1
101000001011,1
110010011000,1
110101010011,1
111101111110,0
111100111000,1
111110111001,1
000010111110,0
000101001011,1
100101101110,1
011011101110,0
100000011000,1
111000110100,0
000111101101,1
101101011100,1
010011101000,1
100010010011,1
001101001001,1
100011111100,1
101001111001,1
001010101001,1
001100100011,1
011100110100,0
001011001011,0
110101111110,1
000010100000,0
101000100100,0
001110101010,0
010111110110,0
000010110101,1
110111100001,1
011100001101,0
101110001010,0
001101101010,0
100110010111,1
001101001100,1
001111000011,0
111000111100,1
100111101111,1
110010100110,0
001010001001,0
100010000000,0
101111100111,1
111001010111,0
010101111011,0
100101011001,0
111100010100,0
111010101010,1
011001110011,1
011010111010,1
101111000111,0
111011000111,0
110101010001,0
000001111001,1
111010010001,0
001111010101,1
000010111110,0
010010000111,1
100001001011,1
110110101000,0
100000011110,1
100101110011,1
110000101001,1
100111001110,1
110001100001,1
111101100110,0
000010010011,0
010111011001,1
101110110111,1
110111000001,0
111100111010,0
101100011101,1
100110100011,0
011011000011,0
001101100011,0
010000011100,0
000110110010,1
111000000111,0
010101010001,1
010101011101,1
010010111101,1
110101100011,1
111101000000,1
001010111000,1
101110001001,0
110100011110,1
000011011111,1
100101110100,0
010100110011,0
001101100001,1
010000001101,0
100111100101,1
100001111100,0
111110110100,0
011100001001,1
010001111111,0
111110011011,1
010001001101,1
111111011111,1
110000110011,0
000101111010,0
010001110101,0
010110110010,0
101100100111,1
010000101000,1
000110010010,0
011100001101,0
000111000110,1
000011110111,1
110110010011,1
000111110110,1
001010000010,1
100111100101,1
101011010010,0
101011101110,0
011100110100,0
101001010011,0
101011010111,0
001001011101,0
111010100011,1
011010011111,0
010111101000,0
110101110110,0
000001000100,0
011100110111,0
011110000010,1
001101000111,0
111100100011,1
111111001000,1
101001000000,1
001000110110,1
010111010111,0
010111011100,1
101100101111,0
011001010111,1
101110111100,0
001111100001,0
001100101110,0
110001011100,0
110100010100,1
110110101010,1
011100101101,1
111000001101,0
000111110000,1
000011001001,0
110111111111,1
100011011011,1
110101010011,1
011010101110,1
110111111111,1
011101101111,1
101100001111,1
110101010001,0
111010010010,0
000001110010,0
011110011110,0
010010101011,0
001001010010,0
101001011100,0
100011010001,1
110000010010,0
101001100010,1
000000000100,1
000010000110,1
000111111000,0
010110010111,1
110111101101,1
100100100000,1
001000001011,0
110001101010,0
110101010110,1
010000101000,1
011100100001,1
101100011111,0
110010100100,1
100100100010,0
100000101110,1
011010111111,1
110010111000,0
111100000101,0
111010010010,0
001010110111,1
001110011011,1
001001001001,0
011100110101,1
100101010111,1
011110111100,0
101010000110,1
001000111010,1
101011101101,0
011111001000,0
011011010001,0
110111111001,1
100100100110,1
010001110000,0
010111001110,1
110011111001,0
110111011101,1
000101110110,0
010100100111,0
011011000100,1
001001100110,1
101011000011,0
101110101101,0
111000011011,1
101011101000,0
111101000101,1
001001111001,0
010001110101,0
111111011101,0
000111011011,1
111010010001,0
011001110111,0
111001000111,1
000011000001,1
001100010101,1
010100111000,1
100111001011,1
111000001101,0
111000011100,0
001101010111,1
110101111100,0
101101000011,0
010101000110,1
010100110110,0
100101011000,1
101101001101,1
001111011100,1
010000001111,1
010111110110,0
001110010010,1
101111111011,0
100010110011,0
111001010001,0
010101001001,1
010011010011,0
001000000001,0
110001110101,1
101010001010,1
001010100001,0
001010010101,1
000000111010,0
111010011111,1
110010011011,1
111011000011,1
001110110101,1
000011100101,1
010100110011,0
111110110000,1
001011011000,1
001111110000,0
111100011101,0
000100110001,0
100110111101,0
110010010000,0
101011010101,1
100001001010,0
110111010011,0
011100010010,1
000101111010,0
100000110101,1
101101001011,1
111001000010,1
100110001011,0
101101110001,1
100110110010,0
101110011101,0
100001011001,1
011011011001,1
010001001001,0
000001011011,1
111110010001,1
100110010101,0
001000000110,1
000101001011,1
100011000101,1
100011100101,0
111111100100,0
010111101101,0
100011111101,0
101011101011,0
001000000100,0
000100000001,0
101011011000,0
111110101010,0
101010010010,1
000000110100,1
100011111100,1
010110110111,0
001101100101,0
001111111110,1
100110100100,1
111010010011,1
101100001111,1
101010000010,0
001001010101,1
101010010010,1
001100111000,1
011110011010,1
101100110000,1
001000010001,1
010111011111,1
000100010011,0
101110010100,0
011001110000,1
011001011010,0
000101101100,1
101010101011,1
110100111010,1
001111000101,0
110111101111,0
001100001000,1
100111011000,0
011111111011,0
