sequence,label
AABBBBAAABABBBBABBAAABABBAABABABABBABBAABBABABABBB,A
AABABBBABBAAAAAAAABAAAAAAABABABAABAAABABBAAAABBBBA,A
ABBABBABAAAAAAAABBBBABAAABABAABBBBBABAAABABBAAAAAB,A
BBAAAAAAABAAABBBAAAABABAABABBBBABAAABBBAAAABBBBBAB,B
BBBAAABABBBBABAAABBBABBBBBBABBBAABBAABAABBBBAAABBA,B
ABBBABBABBABBAABAAAABAABAAAAAABAABAAAAABABABBBABAB,A
BBABAAAAABBAAABBAABAAAABBAABBBAABAAAAAABBBAABBBBBB,B
BABBBBAABABABBAABBBAABBAAAAABBBAABBBBAABABABBAAABB,B
AAAABBBBABABAABBAAABBBBBABBBAAABAAABABBBBABBABBAAA,A
AAAAABABAAABBBABAABBBBBAAAABAABAAAAAABBAABABABABAA,A
BAAAAAABABAABBBBBABBBABBBBAAABABABBBABBBBBABBABAAA,B
AABAABAABAAAABBAAABBBBBBBAABAABBABBBBAAAAAABBAAAAB,A
ABBAAAABAABABAAAABABABBBBABAABAABBAAABBAAAABAAABAB,A
AAAABABAAABBBABBBBABAAAAABAAAAABABAAAABBAAAAABAABB,A
AAAAAABBBBAABAABBBBABAAAAAABABABBBBABAABABABBABBAA,A
BBABBABAABBBBBBABBBBBABAABBBAAAABAABBABBBBBBABBAAB,B
BBBABBBBBBABAAAAAABABABBAABBBBBBBBAABABAABAABABBAB,B
AAAABABBBBBAABABBBBBBBABAAAABBAABAABABAAABABBBAAAB,A
AABBBBBBBABAAABABBBBAAABAAAABABAAAAAAABBAABBABAAAA,A
BBBBBABBBBABBABABBBBAABAAABABBBBBBBBABBABBBBBBAAAB,B
BAABBAAABBABBBBABAABBBBBAABBAABBBBABAABAABBBABBBBB,B
BBBBBABBABAABAABBBBBAAAABBBABABAABAABAABABBABABAAB,B
AAAABBAABBABBBAAAABBBBABABBABBAAAABABBAABAAABABBAA,A
BABAABBBABABAAABAABAAAABBBBBABBBBBBBABBBAABAABBBAB,B
BAAAABAABBAABABAAAABAAAABBBBBBABBABABBBAAAAAAABBAA,B
ABBAABABAABAABBABABBAABABAABABBAAABAAAABAABABBAABA,A
BBAABAAAABABAABABAAAAAABABBBAAABAAAAAAABBABBABAABB,B
ABBBBBBABBBABABBAAAABABAAABABBAAAABBBAABBABBABABAB,A
BBBAABBBBABBAABBABAAAAAABAAABBABBABAABBABAABAABBBB,B
ABABAABBBAABAAAAAABBABBBBABAABBABABAABAAABBBABAAAB,A
BAAAABAAABBABAABAAAAAABAABAABAAABBBBABAAABAABAAABA,B
AABBBBBABBBAAABABBABBBAABABABBBBABABABBBABBAAABAAB,A
BBAAAABAABBBBBBBBAAAAAABABBBAAABBBABAABABBBAABBBAB,B
BBABBBABBABABAAABBAAAABABBBBBBABBBABBAAAABAAAAABAB,B
BAAABBBBAABABAABABBBBABAABBBBABAABBBBBBBAAAAABAAAB,B
AABBBAABABABABBBBBAABBBABAABBABABAABAABBBAABAAABBB,A
BBABBBAAAAABBBBABAABBABAAABAABBBBBBBABBBBBBAAAAAAB,B
ABBBBBABAABAABBABAABAAAABABABABAAABBBBBBABAABAABBA,A
BAAAABBAAAAABBBABBBABAAAAABBAAABAABABABBAABAAAAAAB,B
BBBAABBABBAAABBAAAAAAABBABAAABABBABABABBABBBAAAAAB,B
BABAABABBBAAAABAABBBBBBBBABBBBBBAAAABAABBABAABABAA,B
ABAAAAAABABBAABABBABABABAAAABBAAAAABAABABAAABBAAAB,A
BBBAABABAAABABAABBABAAAABAABAAAABAAABBBBBBAAAAAAAB,B
ABBAAABBBABAABABABABAABAABBBAAABBBAAABABBBBBBBBAAB,A
BBAAABBAAABBBABABBBAAABBBBABAABBAAAAABBBBBBAAAABAB,B
ABBBABABBABBBBBAABBBAAABBBBBAAAAABBABBABAAABABABAB,A
BBAABABBBBAABAAAABABAAABAABAAABBBAABBBABABBBBBBABA,B
BABABBBAAAAABABABBAABBBABBBAABBBABABABABAAAABBBAAB,B
AAABBAAABABBBABAAABABBBAABBBABABBBBAABAABAAABBABBB,A
AAABBBAABBBAABBABABBABBAABBABAAABABBBABAABBABAAABA,A
BABBAAABABBBABAAABBABABAABBBBAABBBBBABAAABBABAABBA,B
BABAABBBBBAABAABAAAAABAAABBAABBAABBABAAABABAAABAAA,B
BABBBABBAAABABAAAABAABBBAAAAABBBBBABAABBBBBABBABBB,B
BAAAAAABBAAABBABBABAAABBAAABABBAABBABAABABABAABABB,B
AAABABBBAABAABAABAABAABABABAABAABBBAAABBBABABABABB,A
BBABBBAAAAABBABBBAABBBABABABBBBABBABBABAABAABBABAB,B
BABBBBBAAABBBAABBBAAAAABAAABBABBBABAABBABABAABAAAB,B
AABABBAABAAAAABAABBABABAAABABBBBABAAABAAABBBBBAABB,A
ABBBAAABBAAAABBBABAAAAABAAABABBAABBBAAAABBBABAAABB,A
AAABABABBAAAABBBAABBBABABAABAABBBAABBBABBBBAAABABB,A
AAABABAAABBABABBABAAABAAAAABBABBBBBAABABAABAAABBAA,A
AABAAAABBBABAAABBBABBABBAAAAAAAAABABAAABABBBAABABB,A
AABBBBAAABBBBBBAAABAABBABAABBBBBAABAABBAAAAABABBBB,A
ABBBBAAAAABBBAABBBABABAABABBAAAAAAABBAAAAABBBBABAA,A
ABAAAAABABBABABBAAAAABAAAABBBBAAABABBABAAABBBBABBB,A
AAABBAAABABABAABBBBBBABBBAABBABABAAAABBBAAAABAABBA,A
ABABBABAABABAABBABBABAABBAABBBBABBAABBBABABBAABBAA,A
ABBBBABABBABBAABAABABBBAAAAABAAABAABBAAAAABBABBBAB,A
AABBBABAABBABBAABBAAABBAAABAABBAABBBAABAAAAAABBABB,A
BAABBABAAAAABBABABBABBABABBAABAABBBAABAAABBBBAABAA,B
BBABBABBABAABAAAABABABBBABBBBBBBBAAAABABBAABBBAABB,B
BBABBBBABBAABAAABBBBBBAABBABAAAAAABBAAAAABBABABBAA,B
BABABAAAABBBBBBBBAABBAABABABABABABBBABBABBBBAAABBB,B
AABBBABABABBAAABBBAABBAAABBAAABBBABAAABBABABAABBAA,A
ABBABAABABABABAABBABBBBBBBBBBBBBABAAAABABBBAAABABB,A
BBBABAABBAAAABAABAAAABABBBBBAABBABBBBBAAABABBBBBBA,B
ABAAABBAAABAAABABAAAABAAAAAABAABABBBABABAAABABBABB,A
BBAABBAABBBAABABBBBBBAABBABABABBBABBABBAABBAABAAAB,B
BAABABBBBBABBAABABBABBAABBBBBBBABBABAABABABABAAAAA,B
BBABAAAAABBBBABBAAABABABAABABBBABABBBABBBAABBABAAB,B
AAABBBAAAABBABAAAAAABABABAABBBBBAABBABAAAABBBABABB,A
BBBBAABBAABABBBBBAAAAABAABBBAAAAAABABAABBBBBBBBBBA,B
AABBBAAABAAAABAAABBBBAABBBBAABBAAABAAAABABAABABABB,A
ABBBAAAAAABBABBBAAABABBABABAAABAAABBBBAABAABAAAAAB,A
ABBBBABABABBBBBBBBBBBBAABABAAABBAAAAAABBBABBBBBABB,A
BAAABBBBABABBABAAAABABBBAABAAAAAAAAAAAABBAAABBBABB,B
BBAABBABAAABBBBAABBBABABBBAAABAAABBABBBBBBBABBABBA,B
BBABABAAABBABABABBBAABABABAAAABAABAAAABBBAABBBBBBA,B
BAAABBBBABAAAABABBBBBBBABBBABAAAABBBBABABBBABABAAA,B
BABBBAABAAABBAAAAABAAABABABAABBBBAABBBAAAABBBABABA,B
BABBABAAABABABBBAAAABBAAABBBABBBBBBBABABAAAABBAAAB,B
BBABABAAABAABABAABABAAAAABAABAAAABBBAAAAAABABBABAA,B
AAABBAABBABBABAAAABBAAABABAAABAAAAAABABBBBBBBBBBAA,A
BABAABABBBBBAABBBBBAAABABABAABBABAAABABABAABBBBABA,B
AABABBABBAAAAABAABAAAAABAAABAABBAAAAABABAABBBAABAA,A
ABBBBAABBABAABABBBBBABABBAABAAABAABAAAAABAAABBBBAB,A
ABABABBABBBABBBAABABBBAAAABBBABAAABABABAAAABBBBBAB,A
AABBAAAAAAABBBABABAABBBABBAABBBAABABAABABAAABBBBBB,A
BBBABABBABAAABBBABABABABAAAABBABAAABBAABAABAAABBAA,B
BAAAABBBBAAAABABBBABBABBBBBBABBBBAAAAAAABBBBBBBBBA,B
BBAAAABAAAABAABAABABAAABBABBABBAABAABAAAABABABBABA,B
ABBBBBABAABABABBBABBBABBBAAABBAAAAAABABABBABBBBBBB,A
ABBBABABBBBAAABBBBAAAABABBBAAABBBAABAABBBAABBABABB,A
ABABBAAAABBAAAAAAABAABAABBBBAABAAABBBBAABBBABABBAA,A
AAABBABAAABABBABBAAABAAABBAABBABAAAABABBAABBBAAABB,A
AABAABBBBBBAABBAAAAABBAAABAAAAABBABAAAAAAABBBABAAA,A
AABBABBBABAAAAABBABAAABAABBAAAAABAABBBBBAAAABABBBB,A
AAAAABAABABBABBAAAABBBABBABABBABBBABABBABAAABAABAA,A
BABAABBBABAAAAABBAABBBBBABAABBAABBABAAABBBBBAAABBA,B
BBAABAAAABAABAAABAAABAAABAABAAAABAAABBABBABBAAAAAB,B
BAAABABBBAABABABBBABBAABAAABAABBABABABBBBBAABBBAAA,B
AABBABBBAABBBBAABBABABABBABBABBAAABBAABBBBABBBAAAB,A
BBBBABAABABAAAABAAABAABBABAABAAABBAAABAAAAAABBBBBA,B
ABABBBBABABBAAAABBBBAAAAABBBAABBABBBABAAABBABBABAA,A
BBABBAAAAAAAABBBBBABABABABAAAABABAAABBABBBBAABAABA,B
BBAAAAAAABBAABAAAAAAAABAABAAAAAABABBBAAABABBBABABA,B
AABBABBABAAABBAAABABAAAABBBBBABAABBABBABABBAAABAAA,A
BBBBAABBBBBABABBBAAAAABAAABABBBBAAAAABABBAABBBBBBB,B
BBAABABABBBABAABAABBBBBABAAAAABABAAABAAAABBBBABABA,B
ABBBABABABBABBABBAABBBABBABBBABABBBBBABBAAABBBBAAA,A
AABABAABBBABABBBABABBABBAAABBBAAAABABAAAABAAABAABB,A
BAABABAAABBABBABBABAABABAAAABABBAAABBBAAAABBBBABBB,B
BAAABABAAAAABABBBAABBBAAABBBBBAAABAAABBAABAAAAAABB,B
BBBABABAABABABAAAAABAAAAAAABBBABBAAABABABAAABBBAAB,B
ABAABBBABBAABBABAABBBBAABBAAABBBBAABBABABAABBABABA,A
BAAABAAABBBBAAABAABBBABBABBBABBBBBBBAABAAAAABAABAB,B
AAABAABBBBABBABAAAABBBABBBBBAAABBABBAAABBBAABABBBA,A
BABBBBAAABABBAABBAAABBBABABABBBBBABBABABBBBABBAAAB,B
ABBAABBABAAAAABABAAABBAAAABAABAABAABABBABBABABBBBB,A
BAAAAAABBBBBBAAABBAAABAAABABBABABAAABABBBAAABABBBB,B
ABBABABBBABABBBABAABBAABBAAABABABBBBABAAABBAAAABAB,A
BBABBAABAABBBAABBBBBBABAABBABBAABBABBABBABBAAAABAA,B
AAAAAABAAAAABBAABAAABBAAAABBABBBBBBABAABBBBBBAAAAA,A
BAABBABAAABBABABAABAABBAABBABAABABBBBAAABABAABAABB,B
ABAABBABAAABBAABBBABBABAABABAAABABAAAABAAABBBAAABA,A
BBABBBABAAAABAAAABAAAAABABBBBBBAABAAAAABABAABBBABA,B
ABABBAABBBBBBBBAABBABBBAABBAABBAABBBBBBABBAAABBBBA,A
AAAABBBBBBAAAABABAAAABBBBAAABAABBBBBABABAABABAABBB,A
BABABABBAABABAABAABBBBAAABAAAAAABBAABABBABABBBAABB,B
AABBBBABABBABAABBBAAABBBABABBBBBBAABBBAAABABBABAAB,A
AAABABABABABBBABABBBAABBBAAABBBBABABBBABAABABAAAAB,A
ABABAAAAABAABBAABBBBABAABBBBBAAABBAAAAAABBBBABBBAB,A
BABBBBAABABABBBAAAAAABAABBBBABABBBABBAABABBABABAAB,B
ABABABAAABABBBBABABBABAAAAAABBBBBBABBBAABBAAABBBBA,A
ABBAAABBBBABBBABABBBBAABBBBBAAAABABBAAABBAABBBABBA,A
BBABBBBAAAAAAAABABBBBBBBABBBABBBBAAAABBAABBBABAABB,B
AABBBBABBBBBBABABABAAAAABAAABAAAABABBBBAAABBAAABAB,A
BBABBAABBAABAABAABBBABBAABBAAABBBABABABBBBBBAAABAA,B
AABBBABBBABBBBAAAABBBABABBAABAABAAABABBABBBAABBBAB,A
BBAABBAABABBABAABAAAABAAAAABBBABAABAAABAAABABAABAB,B
ABABBABBBABBABBBBBAAAABBBBBABABBAABABABBBBBBBAABAA,A
AABABABBAABBBAAAABABBAABBABBABAAAAABABBABAAAAAAABA,A
BAABBABAABAAABBABBBAAAABBBBBBBBAABBAAABBABABBAABBB,B
AAABAAAAABBBABBBBAAAABABBBBABAAABBAAAABAABBBAAABAB,A
BAAAABABABBBABBBBBBABAAAAABBAAABABAAAABBBBBBBBBAAA,B
BABBBAAAABBABBBABABAABBBABAAAABBBAABAAABBAAAABBBAB,B
ABBABABBABBBBABABAAAAABAAABBBBBAABBBAABBBAABAAABBA,A
ABABBAAABAABBBAAAAABBABBAAAAAABAAAABBABBBAABBABBAB,A
ABBABABABBBAABABAAABBABBBBAABBAAAAAAAABAABBAABBBAB,A
BBBABBBBABBAAAAAABBABBABBABABAAAAAABBBBABBAABBABAA,B
BAAABBAAAABBBBAABBABABBAAABBBBAAAAAAAABBBBAABABBAB,B
ABAAABBAABABAAABBABBBAAAAAAABABBAAAABAABABBBBBBAAA,A
ABBABBBAAABAAABAABAAABBBAAAABAAAABAABBABBBAAAABBBA,A
BBAABAAAABBBAAAABBAAAABAABBBAAABAAABABAABBAAAABBAB,B
BBBABABAABBBBBAAABBABABBABBBBABBBAAAABBBBAAABBABAB,B
ABBABAABAABBABBABAAABAABAABAABBABABBBABAAABAAABBBB,A
AABAABBBBAABBBABBABBABBBAABABBABABABBBBAABBABBBAAA,A
AAAAAABBBAABABABBBABABBABAABBABBAAABBBABAAAAAAAABB,A
ABBBBAABAAABABAAABABBAABBBBABBABAAABBAABAABAAAABAA,A
ABBAABBABBABBABBBBBAAAABBBAABBBAABBBABABBBBABBAABB,A
BBABBBABAABBABABBAAAABBABBBBABBBBBBBBAAABBBABABBBA,B
BBABAAABBBABAAAABBBBBBAABBAABBBBBBBBBAAAAAABBBBBBB,B
ABAAAAAAABABBABBBABAAABBBABABAAABABBABBAABBBBABBAA,A
BBABBABBBBBABBBABABBAABAAAAABBAAAAABAAABABBBABABAA,B
ABABABBBABBAAABABBBABABBAAAABBBBAAABBBAABBABABBAAA,A
ABABBBABAABABABABBBABBABBAABABBBBBBBAAAABABABBBABA,A
BBABABBAAAABAABAABABAABBABAAABABAAABAAAABABBBAAAAB,B
BBABBBBBABABBBBBBAAABBBBABBBAABBBBBBBAABABABAABBAB,B
BAAABBBAAABABABBAAABBAABBABBBABABBAABAABAAAAAABBAA,B
BABBAABBBABAAAAAABBBABAABAABBAABBABABABBAABBAAABBA,B
AABBABBAABBAAABAABBAABAAABBBABABAABAABAAABAAAAAAAA,A
AAAABBBBBAAAAAAABBAABABABABAABAAAABAAAAAABBAAAAAAA,A
ABAABABAAABAABABBBABAAABAAABBBAABBBBBBBBAABAAAABBB,A
BBAAABAAAAAABAABAABBBAAABBAAABBBAABBBAAAAAAAAABABB,B
AABABAABABBABABBBBAABAAABABBBBBAAAABABABAABBBAAABB,A
ABAAABBAABABBABBAABAAAAABBAAAABBBABABBAABBBABBBAAB,A
BABBABBBABBABBBABBABAABAAABBABAAABABBBAAAABAABBBBA,B
BBAABABAABBBAAAABABABBBAAAABBABABBABBBBBBABBABBBBB,B
ABBABAABAABAAAABBAABBABBAAABAABBAAABBBBBABABABAABB,A
AAABBBABBBBABBBAAAAABBBAAAABBABBBBABAAAAABABAAABAB,A
ABBBABABBBBABBBBBBBBBBBBBAAABABABABBAAABAAAABABAAA,A
AABBBABAAABAAAABAABAAAABAABABBBBBABAAAAABAABABAABA,A
AABABABBABBBAAAAABBAABABBABAABBBABAAAABABABABAABAA,A
BAAAAAABBBBBAAABABBBAAABAABBBAABBBBABBBAAABBAABBAA,B
BABAAABBBABBBBAABBBABBBBABBBABBBBBAABABBABAABABAAA,B
ABAAAAAABBABABBBBABBABBBABBBBBBBAAABABABABBABAABBA,A
ABAABAABBBABBBABBBABABABABBAAAAAAABBBABBBBBBABBABA,A
AAAABBABBABBBAABAAAABBBAABAAABBBAABBABABBAABBBAAAA,A
BBAABBBAABABBBBAABAABBAABBABAABBABABBAAABBBABBAABB,B
ABBAABAAABBAABBBBBBBABBBABAABBBABBBBBABAABAAAABBBB,A
BAABABAAABABBBBABABABBAABABBAABABBBBAABBABBAAAAAAB,B
BABABBAAAABBAAAABAAAAABBBBABBBABABABAAAABBABBAAAAA,B
AAAAABAABBBBBABBAAAAABABAABABABBAAABAAAABBAABABAAB,A
BBBBABBAABBAAAAABAAABABBABBBBABABBAABBBBAABABBBBAA,B
AABBBAAABABBBBBABAABBBABAAABAABABBBABBABBBBAAAABAB,A
AABBABBAAABAAAAABBABABBBBABABBBAAAABABAAABBAAAAAAA,A
ABBBBBABAAABBBABAABBBABBBAAAAAAABABBBAAAABBBABAAAB,A
ABBABBBABBBAAAAABABBABBBABABBBBAAABABBBABAABABBAAB,A
BBABBBBBBBAAABAAAAAABABABBAAAABBBBABAAABBBABABABBA,B
BAAAAABAABAABBAABAABBBBABABAABABBAAAABBBABAABAAAAA,B
AABABAAABAAABBBAAABAABAAABABBBBAAAABBBBBABAABAABAA,A
BBBBBBAABAAAAAAABAAAAABBBBAABBBBBABABBBABAAAAAAABB,B
ABAAABBBBAABAAABABABABBBAABABBABBABABAABBBBAABAABB,A
ABBAABBBBBABABAABBABAAABAAABAAABBAABAABABABAABBABB,A
AAAAABAABBAABAAABAABBAAAAAABBAAABBAABBAAABABAAABBB,A
AABBBBABABAABBABABBAAAABABBAABAABBBABABAAABBAABAAA,A
ABBAAAAAAAABAABBAAABABBABBAABABAABAAAABAABAAAAABBA,A
AABBABAAAAABAAAAAAABBAABAABAAAAAABBBBABBBABBABBAAA,A
BBAAABABAAABAABAABBABBABBABABBAABAAABBBBAABAAABBAA,B
ABAABBBBBABBBBAAAAABBBABBABAABBBBABBABAABBBABBAAAB,A
BBBBAABBBAABBBBABBBBBAAABBAAABBBBBBBBBBBBBAABAABAB,B
BBBBAAABAABBBBABBABBABBABBBBBBABABBAABBAABABBBBAAA,B
BBABAABBBBBBABBBBABAAABABAABAABBABABBBBBAABBAABBAB,B
BABABABBBBAAAAAABAAABBAABBBBBBBAABAABABABBABBBBABA,B
BABABAABAAABBBAAABBBABAABAAAABABABBBBABABAAABBBBAB,B
BABBAAABAABABAAAAAABAAAAAAABABABBAAAAAAAABAABAAABA,B
BAABBAAAAABBBABABAABBBBAAAAABBABABBAAABAABABBBABAB,B
BBBAABABBABBABBBBABABBAABAAAAAAABAABBAAAABAAABAABB,B
ABABBBBAABAABAAABAAAABAAABAABBAABBABAABBBBAABAABBB,A
ABBAAABBABBAABABBAABBABBBAABABBAABAABAAAAABBBBAABB,A
AAABABBABBBBAAAABAABBBBBABABBBABBABABBABABABAABABB,A
BAABABAAABABBBAABABABBBAABAAAAAAABBABAAABBBBBBABBB,B
AAAABBBAABBABAAABAABABBAABBABAAABBAAABBABBABBBBBBB,A
ABAABABBBBABAABABABBBBAAAABABBBAABAABAAABAABAAAABA,A
ABBAABBBBBBABBBBAAABABBBBBABAABAABBAABBBABBABBBAAA,A
BABBBBABABABBBBABAABAAAAAAAABBAAAABBBABABAABABBBBA,B
AABAAAAAABBBBBBBBBAAABABABABAAAABBAAABAAAAAAAAAABB,A
AAABBBABBAAAABBBAAAABAAABABBABBBBABAABAAABABAABBAB,A
AAAAAAAABABBAAAAAABAAAABBAABBBBAAABAAAABBBAABBAAAA,A
BABAAABAABBAABAAAAAAABAABAAAABAABAABAAABABBABBBBAA,B
BBBBAABAAABBBBBAABABBAABBAAABBBABABBBABBBABABBBBBB,B
ABABBBAAABBABABBBBBBBBABBAABBAAABBBAABAABBABABBBBA,A
BABABABBABAAAABABAABABABBABBAAABAABAABBBABBABBBBBA,B
ABBBBAABABABBBABBBABABABBABBBAABBBABAAABAABBABBABA,A
AAABBBBBABBABAAAABAABAAABBABABABBAABAAABBBBBBABBAB,A
BAABBBAABBBABABBBAAABBAAABBBBBAABBBBABBAABBBBBBBAB,B
BAAAAABBBABBAAAABBABBABABABBAABAAABAABBBABBBBBABAB,B
AABBABAABBBABBBAABAABAAAABBAABBAABABBABBABAAAAABAB,A
ABBAAAABAABAAABBABAABBAABBBBABAABBAAAAAABAABAABBBB,A
ABBAAAABBBAAAABABBABABBABAABBBAAABABBAAAABBBBBAAAA,A
AABABAAABBBABABBABABBBABBBAAAAAAAAABAABABAABABABBB,A
AAAABAABAAAAABBABBABBABAAABABBABABBBAAAABAABBABBAB,A
BAAABAABBAAABBBBBBBABBBBBBBBAABAAAABBBABABAABAAABA,B
AAAABBBBAABBAAABAAABBAABBABAAABBABBBAABBBAABAAABAA,A
BBABAABABAABAAABBAABBABAAAAABBAAABBBBBBBBBABBBBAAB,B
ABBABABBBBABAABABBBBBBAAAABBBBBBBABBABBABAABAABABB,A
ABABBABAAAABBAABBBBABAABBABABABAAAAAAABABAAABABAAB,A
BAABBABBBAAAAAAAABAABAAABBAABBAAABAAAAAAAAAAABAAAA,B
BABBAAAABABABAAABAAABABBAABBABBABABBAAABBABBAABAAA,B
ABAABAAAAAABBBABABBABAABABBAAAABAABABAAAABBBABBAAB,A
ABBBBABAAABBBBBAAABABABBAAABABABABAABABAAAAAABBBAB,A
ABBBABABAAAABBBBBBAABABBBABABABAAAAABBBAABBBBABBAB,A
BABBBAABBABABBAAAAABBABAABAAABBABBBAABBBBABBAABAAB,B
AABBAABBAABAABBBAAABBBBBBABBBAABAABBBBBBAAABBABBBA,A
AAABABABBBABBBBAABBBABBABBAABBAAAABAABAAAAAABAAABB,A
AABABABBABBABBBABAABABAAAABABABBAABAABAAAAAAABAABA,A
ABABBAABABAAABAABAAAABBBBBBAABBBAAAABBABBABABBBAAA,A
BBAAAABBAAAABBAABAAAAAAAABABAAABBABBAAAAABBABAAABB,B
BABAAAABABAABABBAAABABBABAAAABBABAAAABBBABAAABAAAB,B
BBBBABBBBAABABAAABBBBAAAABABBABABABBBBABAABBAABBAA,B
ABBBBABAAAAABAAAABABBABABAABBABABBBABAAABAAAAABBBA,A
ABBABAAAAABBBBAABABABBAAAAAAABAAABABBAABABABABABAA,A
ABAAABBBBAAAAABBBBBBABBBBBBBBBBAABBAABBBAAAABBBBAA,A
AABABAAAABABABABBABABBBBBAABABABABBBABBBAAABABAABA,A
AABBABBBABABBBBBABAABBBAABBABAAAAAABBABABBAABABABB,A
ABBAABBBBABBABBABAABBBABAABAAABBBABBBBABBBABBAAAAA,A
BBBBABAABBABBAABAAABAAAABAAAAABABBABABBBBBBBABBABB,B
BBABBBBBBBAAABBABAAABBAAAAABBABBBBAAABBBBBBBAABBAA,B
ABAAABABAABBABABBAAABBBBBAABBBBAAAABBBABBBABBABAAA,A
ABBBBABABAAAAAABAAAABAAAAAABABBABAAAAABBBABBBBAABA,A
ABABAAABBABBABBABBBBBAABABAAAAAAAAABAAAABBABABBAAA,A
BBAABBBAABABABAAABBBBAAABABAABBABABBABABBAABBBBBAB,B
BBBAABABABBBAABBBBAABBBBBBBABBABBBBAAABBBABAAAABAA,B
AAAAABBBAABAAAAAABBBBAABBBAABBBBBBBABABABAAABAAABA,A
AAAAABABBBABBAABBBABAABAABAAAAAABBABABBBBAABBBBAAA,A
BBBAABBAABBAAABAABBBBABBABBABAAABABBABAABBABABBBBA,B
AAABABBABABBABBABABBABBBABBABBAABAABABBBAAAABBABBA,A
BBAAABBAAAAAABAAAABBBBBABAABBABABAABBBAAAABBBBBAAB,B
BABBBBBABBAAABAAABBABBABBBABBBAABBBBBBBABABAABAABB,B
BABABBAABBABAABAABBABBBAABABBABBBBAAAAAABABBBAABBA,B
ABAAAABABBBBBBAABAAAAABABAABBBAAAABAABBBABBAAAABBA,A
BBBBBBBBAAABBABABBBBAAAAAABAABABBBBBAAAABBBBABBAAB,B
AABABAABBBBAAAAAAABAABBABABABBBBABBBABBABABABABBAB,A
BBBBBBABBBBABAABAABABBBABABBAABAAABBBABAABAABABBAB,B
BABBAAAAAAAABBBABABBAABABBBABBBAABBBABABAABAABAABB,B
BABABBABABBBBBAAAAAAABAAABAAAAABBABBBAABBABABBABAA,B
BABAABBBAABBBABABBBBABABBAAAAAAAABABBAAAABAABBBBBB,B
ABBABBAABABABAAABAABAAABBBABABBABBBAAABABBABBBBBAA,A
BABBBAABBABBABAABABBABAAABABAAABABBBABBBBBBBBBBAAA,B
BABBBBBABBBBBBAAAAABBAAAAABBBABAAABBABBBBAAAABBAAB,B
BABBAAAAAABBBAAABBBABBBABBBBABBBBBAABABBBABABABABB,B
