annual_income_k,spending_score,visits_per_month,avg_basket,online_ratio,age
39.2,79.3,9.88,38.8,0.8,26.0
45.7,77.2,12.1,35.7,0.702,31.1
58.3,75.6,12.38,43.0,0.798,32.3
27.5,37.5,4.12,20.3,0.472,35.7
78.3,28.3,3.66,61.6,0.319,49.9
42.2,80.1,10.63,34.9,0.759,32.2
28.5,23.9,2.55,21.8,0.372,37.7
61.7,90.7,12.64,47.8,0.753,35.4
38.5,69.9,9.8,35.9,0.798,34.5
19.6,24.9,4.33,24.3,0.353,42.1
97.6,33.5,8.12,69.5,0.294,51.6
103.8,38.1,8.19,67.5,0.258,49.6
9.5,19.5,2.27,6.7,0.332,36.0
33.9,27.0,4.36,23.2,0.399,40.8
23.0,7.0,-1.24,5.0,0.3,41.4
119.3,91.7,17.76,88.2,0.705,39.6
58.4,99.1,13.89,44.6,0.884,28.9
112.7,76.9,15.66,80.5,0.596,43.6
90.8,75.0,15.15,63.9,0.701,39.1
25.7,37.8,1.61,32.5,0.428,40.2
93.0,12.6,2.48,66.1,0.112,51.2
4.4,22.4,1.69,3.7,0.382,38.6
104.6,30.6,8.44,75.3,0.243,51.1
1.3,41.0,3.24,4.3,0.453,37.3
96.4,76.5,13.56,74.9,0.614,36.6
99.0,26.9,5.4,63.3,0.356,52.0
62.0,62.7,11.42,40.1,0.688,29.6
106.9,86.1,15.18,76.3,0.748,37.7
94.7,93.6,14.6,75.5,0.725,40.5
31.8,59.3,8.23,19.2,0.667,32.1
91.7,30.1,5.51,63.7,0.227,51.0
25.6,29.8,4.97,19.3,0.482,32.3
0.3,15.8,1.28,3.1,0.348,36.9
36.6,86.4,12.2,29.8,0.837,25.1
98.2,15.7,5.95,66.9,0.201,56.8
65.5,37.5,6.63,51.7,0.449,45.8
13.2,16.3,0.28,5.1,0.406,40.3
28.8,32.1,1.59,18.5,0.404,41.7
106.6,87.6,16.42,85.5,0.731,41.2
34.5,29.5,2.94,24.9,0.389,40.3
86.6,36.8,5.94,61.8,0.301,47.7
42.6,89.8,12.0,41.4,0.75,28.6
50.0,78.5,11.62,45.3,0.752,35.3
35.0,32.2,2.04,17.5,0.344,41.1
113.1,73.0,15.07,73.3,0.638,44.2
108.5,21.6,6.21,72.1,0.219,54.0
97.3,96.2,16.41,74.8,0.664,40.4
22.2,34.4,1.09,19.8,0.499,40.3
30.8,88.4,11.78,20.3,0.939,27.5
26.3,80.1,11.52,21.7,0.818,25.3
103.8,20.1,7.05,75.5,0.291,56.8
34.4,22.6,3.9,26.1,0.433,42.2
83.2,37.2,5.82,59.3,0.35,44.5
93.8,26.3,6.81,63.6,0.255,52.2
51.9,77.2,11.4,53.7,0.703,34.5
34.5,69.8,11.04,30.6,0.714,28.2
14.6,26.0,3.63,11.9,0.401,42.2
49.0,88.4,12.42,40.9,0.8,29.0
97.6,45.5,9.09,69.5,0.415,44.6
63.8,79.3,13.15,48.2,0.676,34.9
29.6,96.7,12.96,24.9,0.877,21.2
19.3,34.6,1.79,13.2,0.425,31.6
19.6,25.8,2.36,8.4,0.43,33.3
51.0,78.1,13.43,45.4,0.594,31.2
92.9,82.5,13.9,73.6,0.666,38.7
108.5,73.9,13.36,85.8,0.598,41.7
80.6,42.0,7.22,55.1,0.339,48.6
33.7,20.2,2.1,24.4,0.38,43.5
46.5,78.2,11.07,41.4,0.829,29.0
13.1,9.3,0.53,6.3,0.352,40.9
95.4,82.4,13.09,74.3,0.676,40.4
92.9,86.6,17.43,73.5,0.702,33.8
109.7,85.9,16.15,77.1,0.739,35.2
94.4,43.5,6.34,66.4,0.414,48.8
90.4,42.9,7.29,69.3,0.384,44.7
98.0,90.3,16.0,81.3,0.61,38.6
109.7,85.6,15.13,80.0,0.629,40.7
35.1,86.8,9.31,21.9,0.741,27.2
102.0,67.1,12.65,78.6,0.624,38.3
21.0,36.4,3.91,19.1,0.469,37.2
97.4,37.7,7.95,63.1,0.393,46.0
41.4,82.1,12.09,37.7,0.742,25.4
57.6,55.6,9.64,49.1,0.582,39.6
87.6,37.1,5.95,63.8,0.277,49.6
29.4,26.4,2.86,21.1,0.368,42.2
95.2,77.4,13.46,75.8,0.63,34.5
40.7,78.0,11.72,34.9,0.789,31.6
89.2,33.6,7.29,63.2,0.339,50.7
40.7,83.0,13.22,39.8,0.808,24.5
92.8,86.8,15.55,75.9,0.714,36.6
14.2,15.2,1.28,10.5,0.349,43.8
13.8,14.4,1.67,7.1,0.28,39.5
20.0,13.3,0.2,14.3,0.317,49.9
112.0,23.0,7.57,82.4,0.281,53.5
27.5,39.9,5.24,26.4,0.452,34.1
97.0,88.8,16.63,83.2,0.817,35.5
94.0,86.1,14.45,65.8,0.704,37.3
98.9,94.9,16.91,69.9,0.729,38.9
98.6,90.2,15.3,79.6,0.742,35.2
15.1,33.9,2.87,3.8,0.385,37.7
29.7,25.6,2.86,26.3,0.407,37.2
17.2,38.8,3.72,15.0,0.519,31.8
87.7,28.7,6.12,58.1,0.297,50.2
116.8,76.3,14.52,90.7,0.621,41.4
59.2,96.4,14.35,51.7,0.777,26.5
30.3,50.9,6.47,30.7,0.467,40.6
58.2,81.9,12.64,45.1,0.86,30.8
99.8,85.9,13.36,78.8,0.626,34.8
107.7,72.9,14.14,74.0,0.569,41.2
112.4,61.6,12.67,80.1,0.503,46.2
85.6,30.1,6.75,64.4,0.413,51.9
75.8,48.4,6.82,63.2,0.468,50.0
78.6,25.5,7.23,63.6,0.412,49.0
106.9,78.7,15.39,69.8,0.621,38.2
101.9,38.2,7.66,73.2,0.371,50.9
44.5,73.3,11.06,41.8,0.735,34.3
47.4,70.0,11.12,35.4,0.654,35.0
43.7,68.7,9.65,33.9,0.555,31.7
34.4,95.1,14.4,40.4,0.875,20.9
109.7,40.9,8.41,81.1,0.421,50.7
44.9,88.8,14.29,39.1,0.762,27.6
51.0,91.7,11.32,35.4,0.849,28.9
108.8,38.6,8.81,75.1,0.435,48.1
81.0,73.7,11.83,53.5,0.645,36.4
96.2,64.2,10.86,64.1,0.498,40.0
84.1,76.1,12.45,62.8,0.625,39.7
45.2,95.2,15.42,39.2,0.811,27.8
44.8,68.9,10.76,37.8,0.675,31.5
44.5,26.3,3.18,30.0,0.297,44.3
98.6,36.1,6.72,68.1,0.385,49.8
83.6,23.3,4.84,63.6,0.239,54.3
79.9,21.6,3.8,59.0,0.252,47.5
41.2,32.8,2.27,29.6,0.404,44.4
0.8,19.5,-0.77,4.1,0.283,40.9
27.3,6.7,1.2,14.6,0.28,43.2
23.3,20.4,1.68,9.9,0.415,39.5
23.3,29.7,4.69,22.9,0.357,37.0
34.9,79.4,13.05,28.0,0.766,26.7
98.6,28.9,7.0,71.7,0.232,53.1
22.1,19.5,3.81,14.6,0.38,42.2
92.5,33.3,6.71,59.9,0.455,52.3
37.3,33.3,2.48,26.6,0.325,43.0
97.3,36.8,5.01,68.9,0.344,52.5
15.1,28.1,2.55,13.5,0.49,36.1
48.8,94.1,13.87,44.2,0.806,26.5
20.1,29.7,2.59,14.6,0.4,35.1
38.0,22.6,2.19,29.0,0.327,40.9
27.8,36.3,4.84,19.9,0.461,35.1
99.7,37.6,7.87,62.8,0.272,50.0
35.9,77.1,11.33,30.0,0.781,29.5
33.3,87.1,13.27,39.1,0.878,25.9
104.9,62.4,13.03,83.8,0.664,39.0
72.7,35.5,6.81,53.5,0.429,44.8
87.6,30.2,3.94,64.8,0.18,50.4
90.5,29.8,7.72,58.3,0.346,49.4
106.3,77.8,15.15,79.5,0.741,42.8
83.8,97.2,15.63,70.5,0.85,38.0
122.3,73.8,15.55,92.9,0.645,44.7
86.5,50.7,8.22,67.8,0.453,43.0
50.5,92.3,14.57,49.2,0.864,28.9
118.5,42.8,10.46,73.2,0.35,46.1
112.7,52.3,10.29,72.7,0.43,50.2
46.6,97.9,14.06,37.4,0.914,27.7
92.6,77.1,13.8,69.1,0.703,42.0
89.4,30.9,7.06,58.8,0.285,53.0
94.7,77.6,13.68,73.4,0.675,41.6
75.4,83.3,14.14,61.0,0.674,39.0
51.4,67.4,8.43,40.1,0.614,32.1
40.9,84.2,12.62,33.8,0.777,28.6
101.2,72.4,12.63,83.3,0.553,47.0
28.0,88.6,11.32,31.7,0.888,22.0
109.6,70.0,14.29,82.9,0.516,39.9
24.4,84.2,11.87,23.8,0.747,25.1
20.9,32.1,3.01,16.7,0.432,41.5
113.9,46.6,8.22,77.6,0.323,46.2
31.9,19.0,4.49,27.5,0.267,45.7
99.6,88.2,15.26,79.0,0.673,38.8
93.0,90.4,15.34,68.0,0.7,37.7
29.1,27.7,1.8,19.9,0.387,39.2
20.1,31.9,3.56,20.3,0.44,38.8
45.6,103.6,16.18,49.4,0.916,22.0
103.8,85.7,15.09,76.7,0.678,42.2
121.9,34.6,7.25,70.4,0.281,49.9
34.6,13.3,1.66,18.8,0.332,44.9
27.8,68.6,8.93,32.6,0.692,33.5
34.9,12.4,0.72,10.7,0.275,44.7
86.7,60.3,11.61,66.3,0.489,40.9
94.2,93.3,14.47,69.9,0.708,38.5
92.7,38.1,7.63,72.2,0.29,45.6
102.4,37.7,8.18,70.3,0.301,49.7
52.3,7.6,2.78,35.4,0.258,50.2
43.3,70.9,11.22,29.2,0.788,34.3
99.0,86.9,14.71,72.5,0.638,41.2
67.3,76.2,13.74,52.6,0.781,37.6
88.6,25.5,6.39,72.1,0.315,50.5
89.7,74.4,14.02,67.7,0.603,42.0
24.3,88.8,13.43,27.7,0.843,23.7
97.7,17.5,7.5,66.0,0.223,53.0
104.8,83.6,14.44,82.7,0.739,39.9
92.9,68.9,14.79,64.5,0.646,39.3
96.9,38.1,7.46,59.5,0.332,51.0
102.5,86.3,15.85,81.3,0.589,40.9
116.7,55.4,10.67,78.1,0.454,53.4
33.6,90.5,13.76,33.6,0.807,26.0
88.8,28.7,6.6,62.9,0.304,53.5
22.5,26.0,1.31,11.7,0.343,40.7
113.7,74.4,13.5,88.9,0.578,42.3
